
2024/03/03 (13:36:01) | ===> btop++ v.1.3.2
2024/03/03 (13:36:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:36:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/03 (13:37:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
